transaction_id,account_id,timestamp,amount,label_fraud,label_ato,logit_score,hgb_score,anomaly_score,ato_score,fraud_score,investigation_priority_score,recommended_action,priority_band,reason_codes
6311,12025,2025-11-09 15:25:11,1129.23,0,1,0.8561535955995513,0.37827748845978443,0.5889431072515205,0.4107052460374989,0.5143577620183657,0.47297343341285597,challenge,high,MODEL_ONLY
2914,10925,2025-12-08 11:27:27,1130.52,1,0,0.9315100407768342,0.22617440894600319,0.5856453010000021,0.8589309782327741,0.5075942672958732,0.4683679871071112,challenge,high,GEO_NOVELTY
7881,12531,2025-11-01 04:11:56,1249.9,0,0,0.8723727464181096,0.31774899816546937,0.5701894299612889,0.3070776841374984,0.48134136774864816,0.4619289574240537,challenge,high,MODEL_ONLY
9866,13162,2025-11-05 00:29:30,785.22,0,0,0.9342905608051718,0.3250693857422012,0.568949461155904,0.7599359570655445,0.5363987040236832,0.4540010928165782,challenge,high,GEO_NOVELTY
9664,13101,2025-12-17 15:27:42,1106.46,1,1,0.7602916881139852,0.357844548850695,0.5952835712516651,0.6530644533043629,0.4865668971004552,0.4512428279703186,challenge,high,MODEL_ONLY
6801,12186,2025-11-28 05:03:46,550.4,0,0,0.9453977109251185,0.28972147447171087,0.5698293218518378,0.6313457587100706,0.5631396657911644,0.449237766053815,challenge,high,DEVICE_FANOUT|GEO_NOVELTY
5628,11806,2025-11-24 02:34:42,1005.19,0,0,0.9002216596662651,0.2269251357616338,0.6352969789591976,0.7766237470932451,0.49661964912271106,0.44815275438589774,challenge,high,MODEL_ONLY
5754,11843,2025-12-21 01:39:41,674.52,0,0,0.9230796541487097,0.39388514698765553,0.5368298581431029,0.41619084561282144,0.5390972032477123,0.44482004227339855,challenge,high,DEVICE_FANOUT
8728,12789,2025-10-01 15:23:04,571.29,0,0,0.9473261660845697,0.23269362083763412,0.6280463568837044,0.8750705606725174,0.5432312676728216,0.4373908873709751,challenge,high,GEO_NOVELTY
4999,11590,2025-11-19 20:02:31,715.54,0,0,0.8568689945654078,0.3206820412234655,0.5793631616269517,0.6722341423054782,0.5224292652645408,0.43725448568517855,challenge,high,DEVICE_FANOUT
6592,12113,2025-10-18 16:43:30,904.95,0,0,0.823378338004259,0.24107013909556074,0.5944025834817628,0.7009261640286868,0.49252468406726035,0.43526227884708224,challenge,high,DEVICE_FANOUT
8926,12854,2025-10-27 17:04:01,1033.08,0,0,0.864190926638122,0.2950270469759457,0.570399762949816,0.3749792230340076,0.47035136202472655,0.43255395341730857,challenge,high,MODEL_ONLY
1050,10330,2025-10-04 11:31:21,931.87,0,0,0.926454532866026,0.08315732040039393,0.6375337020696242,0.7138154282741584,0.48470450875082305,0.4324801561255761,challenge,high,DEVICE_FANOUT
4964,11578,2025-10-01 07:48:37,1367.89,0,0,0.8174973839086868,0.11542310288727838,0.5675410432616015,0.40239810614997434,0.4223761152677844,0.4324522806874491,review,high,DEVICE_FANOUT
8367,12684,2025-11-05 17:29:01,459.68,0,0,0.867343357821251,0.39225451044143644,0.5706028206564409,0.8102838046943783,0.5476696960917498,0.4293367872642248,challenge,high,DEVICE_FANOUT
4630,11471,2025-10-01 22:56:04,986.36,1,0,0.9035112691313891,0.14792901260524968,0.589863823334715,0.5209718646022757,0.4721891441924313,0.4291684009347019,challenge,high,GEO_NOVELTY
