src_entity_type,src_entity_id,dst_entity_type,dst_entity_id,edge_type,weight
account,10000,device,200035,account_to_device,0.3602
account,10000,device,201205,account_to_device,0.5661
account,10000,device,202022,account_to_device,0.5157
account,10000,device,201507,account_to_device,0.4926
account,10000,device,200597,account_to_device,0.4841
account,10000,device,202284,account_to_device,0.7598
account,10000,device,200230,account_to_device,0.6222
account,10000,device,202104,account_to_device,0.1638
account,10000,device,200334,account_to_device,0.7979
account,10000,device,200392,account_to_device,0.3654
account,10000,device,202445,account_to_device,0.6725
account,10000,device,202319,account_to_device,0.424
account,10001,device,200743,account_to_device,0.9908
account,10001,device,200911,account_to_device,0.8345
account,10001,device,202218,account_to_device,0.5914
account,10001,device,201679,account_to_device,0.1947
account,10001,device,201260,account_to_device,0.7507
account,10001,device,202448,account_to_device,0.8177
account,10001,device,201213,account_to_device,0.4345
account,10001,device,200882,account_to_device,0.3157
account,10001,device,200431,account_to_device,0.9877
account,10002,device,202067,account_to_device,0.5803
account,10002,device,201169,account_to_device,0.8592
account,10002,device,200805,account_to_device,0.4069
account,10002,device,201405,account_to_device,0.5977
account,10002,device,200809,account_to_device,0.7367
account,10002,device,200802,account_to_device,0.6316
account,10002,device,201990,account_to_device,0.701
account,10003,device,201818,account_to_device,0.6017
account,10003,device,200323,account_to_device,0.1951
account,10003,device,201575,account_to_device,0.2505
account,10003,device,200386,account_to_device,0.9741
account,10003,device,201213,account_to_device,0.8636
account,10003,device,201080,account_to_device,0.1015
account,10003,device,201501,account_to_device,0.6977
account,10004,device,201297,account_to_device,0.2637
account,10004,device,202126,account_to_device,0.6078
account,10004,device,200445,account_to_device,0.7595
account,10004,device,201277,account_to_device,0.869
account,10004,device,201667,account_to_device,0.6051
account,10004,device,200355,account_to_device,0.7536
account,10004,device,200309,account_to_device,0.1666
account,10004,device,202125,account_to_device,0.9351
account,10004,device,202060,account_to_device,0.7597
account,10004,device,200784,account_to_device,0.5432
account,10004,device,202257,account_to_device,0.3646
account,10005,device,202295,account_to_device,0.7299
account,10005,device,200905,account_to_device,0.2208
account,10005,device,202451,account_to_device,0.1957
account,10006,device,201057,account_to_device,0.573
account,10006,device,200054,account_to_device,0.9226
account,10006,device,202159,account_to_device,0.9499
account,10006,device,200814,account_to_device,0.4531
account,10006,device,201639,account_to_device,0.8412
account,10006,device,200049,account_to_device,0.7174
account,10006,device,200437,account_to_device,0.8874
account,10006,device,201676,account_to_device,0.1033
account,10007,device,201692,account_to_device,0.1912
account,10007,device,200903,account_to_device,0.7767
account,10007,device,200291,account_to_device,0.884
account,10007,device,201156,account_to_device,0.4716
account,10007,device,200103,account_to_device,0.9613
account,10007,device,200762,account_to_device,0.9722
account,10008,device,201796,account_to_device,0.9694
account,10008,device,201200,account_to_device,0.3939
account,10008,device,200797,account_to_device,0.4739
account,10008,device,201549,account_to_device,0.9382
account,10009,device,200709,account_to_device,0.3567
account,10009,device,200784,account_to_device,0.7776
account,10009,device,200966,account_to_device,0.6054
account,10009,device,201913,account_to_device,0.8811
account,10009,device,200514,account_to_device,0.4941
account,10009,device,200537,account_to_device,0.2046
account,10009,device,202219,account_to_device,0.6431
account,10009,device,200542,account_to_device,0.3598
account,10010,device,200662,account_to_device,0.9474
account,10010,device,201701,account_to_device,0.7131
account,10010,device,201920,account_to_device,0.2132
account,10010,device,200223,account_to_device,0.8898
account,10010,device,201338,account_to_device,0.5201
account,10010,device,200237,account_to_device,0.9203
account,10010,device,201572,account_to_device,0.9163
account,10010,device,202455,account_to_device,0.1381
account,10010,device,200978,account_to_device,0.5875
account,10011,device,201790,account_to_device,0.8169
account,10011,device,202347,account_to_device,0.8757
account,10011,device,200120,account_to_device,0.1966
account,10011,device,200408,account_to_device,0.3835
account,10011,device,202408,account_to_device,0.8032
account,10011,device,200700,account_to_device,0.3964
account,10011,device,201910,account_to_device,0.4212
account,10011,device,200908,account_to_device,0.4271
account,10011,device,202494,account_to_device,0.5651
account,10012,device,200467,account_to_device,0.8331
account,10012,device,202088,account_to_device,0.8394
account,10012,device,201856,account_to_device,0.4772
account,10012,device,201271,account_to_device,0.4919
account,10012,device,201766,account_to_device,0.1591
account,10012,device,200601,account_to_device,0.875
account,10012,device,200891,account_to_device,0.1422
account,10012,device,200948,account_to_device,0.1924
account,10012,device,200195,account_to_device,0.4225
account,10012,device,201682,account_to_device,0.4235
account,10012,device,200800,account_to_device,0.5431
account,10012,device,200772,account_to_device,0.6218
account,10012,device,201191,account_to_device,0.6286
account,10012,device,200226,account_to_device,0.9517
account,10013,device,202032,account_to_device,0.4601
account,10013,device,201504,account_to_device,0.2613
account,10013,device,200571,account_to_device,0.3666
account,10013,device,202012,account_to_device,0.3247
account,10013,device,202129,account_to_device,0.6244
account,10013,device,200903,account_to_device,0.4941
account,10013,device,202188,account_to_device,0.6088
account,10013,device,201741,account_to_device,0.4463
account,10013,device,201798,account_to_device,0.7288
account,10014,device,202035,account_to_device,0.5784
account,10014,device,201506,account_to_device,0.7964
account,10014,device,200229,account_to_device,0.8149
account,10014,device,202119,account_to_device,0.3591
account,10014,device,201770,account_to_device,0.7778
account,10014,device,200846,account_to_device,0.1294
account,10014,device,200580,account_to_device,0.5454
account,10014,device,201073,account_to_device,0.6422
account,10014,device,200446,account_to_device,0.7492
account,10014,device,200293,account_to_device,0.6198
account,10014,device,201201,account_to_device,0.2834
account,10014,device,200927,account_to_device,0.3599
account,10015,device,200798,account_to_device,0.5507
account,10015,device,202366,account_to_device,0.4435
account,10015,device,200868,account_to_device,0.2358
account,10015,device,202210,account_to_device,0.1538
account,10015,device,201781,account_to_device,0.5621
account,10015,device,201659,account_to_device,0.601
account,10015,device,200907,account_to_device,0.7222
account,10015,device,200896,account_to_device,0.1202
account,10016,device,200031,account_to_device,0.8544
account,10016,device,201295,account_to_device,0.903
account,10016,device,201184,account_to_device,0.827
account,10016,device,201145,account_to_device,0.5856
account,10016,device,201301,account_to_device,0.9472
account,10016,device,202040,account_to_device,0.1949
account,10017,device,201372,account_to_device,0.7323
account,10017,device,202367,account_to_device,0.1842
account,10017,device,200426,account_to_device,0.4192
account,10017,device,200418,account_to_device,0.1934
account,10017,device,200288,account_to_device,0.7767
account,10017,device,201953,account_to_device,0.2206
account,10017,device,200473,account_to_device,0.368
account,10017,device,201915,account_to_device,0.467
account,10017,device,201464,account_to_device,0.1566
account,10017,device,200797,account_to_device,0.8515
account,10018,device,200840,account_to_device,0.9411
account,10018,device,202267,account_to_device,0.8299
account,10018,device,202055,account_to_device,0.6522
account,10018,device,200056,account_to_device,0.2676
account,10018,device,201582,account_to_device,0.159
account,10018,device,202292,account_to_device,0.1777
account,10019,device,202394,account_to_device,0.6413
account,10019,device,200361,account_to_device,0.6314
account,10019,device,202348,account_to_device,0.6795
account,10019,device,202190,account_to_device,0.1765
account,10020,device,202303,account_to_device,0.4551
account,10020,device,201444,account_to_device,0.1815
account,10020,device,201436,account_to_device,0.8248
account,10020,device,200572,account_to_device,0.5361
account,10021,device,201321,account_to_device,0.4371
account,10021,device,201757,account_to_device,0.5693
account,10021,device,200255,account_to_device,0.5708
account,10021,device,201245,account_to_device,0.9506
account,10021,device,200702,account_to_device,0.443
account,10021,device,200301,account_to_device,0.3775
account,10021,device,201248,account_to_device,0.9486
account,10021,device,200366,account_to_device,0.6581
account,10021,device,200679,account_to_device,0.1708
account,10021,device,200946,account_to_device,0.4298
account,10021,device,200575,account_to_device,0.2771
account,10022,device,201445,account_to_device,0.8372
account,10022,device,200747,account_to_device,0.2174
account,10022,device,201584,account_to_device,0.7523
account,10022,device,202258,account_to_device,0.7294
account,10022,device,202164,account_to_device,0.7922
account,10022,device,202037,account_to_device,0.1367
account,10022,device,201496,account_to_device,0.3193
account,10022,device,201321,account_to_device,0.9194
account,10022,device,200279,account_to_device,0.5645
account,10022,device,201831,account_to_device,0.4524
account,10022,device,202318,account_to_device,0.8233
account,10022,device,200109,account_to_device,0.4163
account,10022,device,201712,account_to_device,0.6632
account,10022,device,201958,account_to_device,0.1689
account,10023,device,200487,account_to_device,0.1103
account,10023,device,200639,account_to_device,0.8313
account,10023,device,202467,account_to_device,0.5594
account,10023,device,202206,account_to_device,0.5531
account,10023,device,201507,account_to_device,0.4677
account,10023,device,200272,account_to_device,0.6539
account,10024,device,201252,account_to_device,0.1486
account,10024,device,201174,account_to_device,0.9786
account,10024,device,202051,account_to_device,0.61
account,10024,device,200107,account_to_device,0.2417
account,10024,device,200685,account_to_device,0.4212
account,10025,device,202097,account_to_device,0.1785
account,10025,device,202150,account_to_device,0.3399
account,10025,device,202074,account_to_device,0.2286
account,10025,device,200371,account_to_device,0.4814
account,10025,device,201763,account_to_device,0.3667
account,10025,device,200812,account_to_device,0.1535
account,10025,device,201710,account_to_device,0.1707
account,10026,device,201365,account_to_device,0.674
account,10026,device,202466,account_to_device,0.6489
account,10026,device,200280,account_to_device,0.4185
account,10026,device,201378,account_to_device,0.1024
account,10026,device,202425,account_to_device,0.3714
account,10027,device,200769,account_to_device,0.2414
account,10027,device,201068,account_to_device,0.5381
account,10027,device,202156,account_to_device,0.9931
account,10028,device,201586,account_to_device,0.691
account,10028,device,200123,account_to_device,0.5688
account,10028,device,202015,account_to_device,0.5015
account,10028,device,202377,account_to_device,0.2467
account,10028,device,202468,account_to_device,0.288
account,10028,device,201740,account_to_device,0.6828
account,10028,device,201681,account_to_device,0.4189
account,10029,device,200949,account_to_device,0.4419
account,10029,device,201560,account_to_device,0.7514
account,10029,device,201999,account_to_device,0.3896
account,10029,device,201051,account_to_device,0.338
account,10029,device,201443,account_to_device,0.7309
account,10029,device,201250,account_to_device,0.6187
account,10029,device,202440,account_to_device,0.9405
account,10030,device,200813,account_to_device,0.4757
account,10030,device,200689,account_to_device,0.232
account,10030,device,201415,account_to_device,0.6273
account,10030,device,200619,account_to_device,0.5409
account,10030,device,202174,account_to_device,0.1488
account,10030,device,200563,account_to_device,0.8402
account,10030,device,200310,account_to_device,0.1635
account,10031,device,201777,account_to_device,0.6848
account,10031,device,200306,account_to_device,0.1675
account,10031,device,201885,account_to_device,0.8561
account,10031,device,201783,account_to_device,0.7862
account,10031,device,201347,account_to_device,0.4749
account,10032,device,201978,account_to_device,0.8027
account,10032,device,201718,account_to_device,0.4425
account,10032,device,200650,account_to_device,0.2503
account,10032,device,200371,account_to_device,0.4985
account,10032,device,202031,account_to_device,0.4875
account,10032,device,200584,account_to_device,0.7572
account,10032,device,201221,account_to_device,0.4822
account,10032,device,201280,account_to_device,0.3858
account,10032,device,200069,account_to_device,0.4032
account,10032,device,201273,account_to_device,0.5066
account,10033,device,200618,account_to_device,0.5479
account,10033,device,200020,account_to_device,0.4847
account,10033,device,202013,account_to_device,0.4456
account,10033,device,201816,account_to_device,0.395
account,10033,device,200419,account_to_device,0.9308
account,10033,device,202193,account_to_device,0.7787
account,10034,device,201634,account_to_device,0.2338
account,10034,device,200253,account_to_device,0.2186
account,10034,device,202403,account_to_device,0.8951
account,10034,device,201469,account_to_device,0.3541
account,10034,device,200638,account_to_device,0.4391
account,10034,device,201725,account_to_device,0.8154
account,10034,device,200039,account_to_device,0.3425
account,10034,device,201097,account_to_device,0.7566
account,10034,device,201149,account_to_device,0.7879
account,10035,device,200913,account_to_device,0.51
account,10035,device,200211,account_to_device,0.6951
account,10035,device,200553,account_to_device,0.3426
account,10035,device,200988,account_to_device,0.8303
account,10035,device,201715,account_to_device,0.9125
account,10035,device,202009,account_to_device,0.685
account,10035,device,201135,account_to_device,0.3159
account,10035,device,201450,account_to_device,0.6289
account,10036,device,201397,account_to_device,0.1647
account,10036,device,200232,account_to_device,0.98
account,10036,device,201433,account_to_device,0.8161
account,10036,device,202420,account_to_device,0.7631
account,10036,device,200910,account_to_device,0.4471
account,10036,device,200156,account_to_device,0.8619
account,10036,device,201814,account_to_device,0.8781
account,10036,device,201700,account_to_device,0.7204
account,10037,device,200661,account_to_device,0.1488
account,10037,device,200031,account_to_device,0.9582
account,10037,device,202350,account_to_device,0.2807
account,10037,device,200796,account_to_device,0.9564
account,10037,device,200502,account_to_device,0.5711
account,10037,device,200593,account_to_device,0.2346
account,10037,device,201617,account_to_device,0.2554
account,10037,device,201460,account_to_device,0.5372
account,10037,device,201077,account_to_device,0.4221
account,10037,device,201944,account_to_device,0.6085
account,10037,device,201647,account_to_device,0.4119
account,10037,device,200874,account_to_device,0.6892
account,10038,device,200761,account_to_device,0.9491
account,10038,device,201054,account_to_device,0.2271
account,10038,device,200391,account_to_device,0.7105
account,10038,device,200543,account_to_device,0.9256
account,10039,device,200718,account_to_device,0.631
account,10039,device,200552,account_to_device,0.4955
account,10039,device,201112,account_to_device,0.6345
account,10039,device,201290,account_to_device,0.208
account,10039,device,201921,account_to_device,0.5874
account,10039,device,201844,account_to_device,0.1423
account,10039,device,201339,account_to_device,0.1009
account,10039,device,200669,account_to_device,0.4579
account,10040,device,201564,account_to_device,0.3439
account,10040,device,200676,account_to_device,0.2165
account,10040,device,200216,account_to_device,0.2077
account,10040,device,201763,account_to_device,0.8182
account,10040,device,200374,account_to_device,0.2811
account,10040,device,201758,account_to_device,0.1546
account,10040,device,201422,account_to_device,0.5846
account,10040,device,201673,account_to_device,0.8194
account,10040,device,200909,account_to_device,0.6568
account,10041,device,200922,account_to_device,0.6069
account,10041,device,201882,account_to_device,0.4141
account,10041,device,201668,account_to_device,0.2163
account,10041,device,202307,account_to_device,0.5121
account,10041,device,200772,account_to_device,0.4333
account,10041,device,201247,account_to_device,0.7993
account,10041,device,202380,account_to_device,0.2945
account,10041,device,202429,account_to_device,0.8185
